topology,k,R,N,filename,n_valid,n_errored,patch_presence_correct,patch_presence_acc_pct,loose_acc_pct,acc_std_pct,acc_std_ci95_pct,mean_kJ_dynamic_std,mean_kJ_dynamic_std_ci95,n_std,mean_tokens_std,mean_completion_tokens_std,degraded_incomplete_run,acc_ci95_pct,mean_kJ_dynamic,mean_kJ_dynamic_ci95,total_kJ_dynamic,mean_kJ_gpu_total,mean_kJ_total_system,mean_kJ_inference,mean_kJ_coordination,mean_kJ_tool_exec,mean_wall_s,mean_wall_s_serial,mean_prompt_tokens,mean_completion_tokens,mean_tokens,mean_n_tool_calls,mean_n_llm_calls,mean_task_kv
independent,20,,3,Qwen_Qwen3.5-9B_independent_k20.jsonl,50,0,10,20.0,68.02539682539683,68.02539682539683,7.5310486735551505,26.778282689858383,5.618736671927292,50,351972.76,3549.26,False,7.5310486735551505,26.778282689858383,5.618736671927292,1338.9141344929192,29.587016580000018,31.808607995033594,22.8493677051732,3.469863953047339,0.45905103163784916,74.36276236589998,139.36304685167968,348423.5,3549.26,351972.76,25.2,22.0,63387132.81
independent,30,,3,Qwen_Qwen3.5-9B_independent_k30.jsonl,50,0,9,18.0,69.97539682539683,69.97539682539683,6.324487346617974,28.582447772323036,5.119065093744543,50,406001.06,3574.34,False,6.324487346617974,28.582447772323025,5.119065093744543,1429.1223886161513,31.590679039999994,33.97687300199158,24.88932071585461,3.1739550785528845,0.5191719779155354,85.230565052405,149.20645955655723,402426.72,3574.34,406001.06,26.44,23.88,63439018.89
independent,50,,3,Qwen_Qwen3.5-9B_independent_k50.jsonl,50,0,10,20.0,68.16507936507938,68.16507936507936,6.560243355919725,31.46869787316181,6.169735626608192,50,385215.66,4308.34,False,6.560243355919725,31.4686978731618,6.169735626608192,1573.43489365809,34.75106223999999,37.27537939504664,27.957024364468484,3.017574060898055,0.4940994477952575,94.15957312900574,162.7653802201152,380907.32,4308.34,385215.66,26.3,21.86,84142816.03
sas,1,,,Qwen_Qwen3.5-9B_sas_k1.jsonl,50,0,2,4.0,13.85,13.850000000000001,7.8515040597327586,0.9554467026950167,0.29505908365201067,50,6068.1,125.52,False,7.8515040597327586,0.9554467026950167,0.29505908365201067,47.77233513475084,1.07677162,1.1768005285255765,0.19865366064458903,0.7191558575846347,0.037637184465793005,5.431324080266059,5.431324080266059,5942.58,125.52,6068.1,1.18,2.0,1182286.92
sas,2,,,Qwen_Qwen3.5-9B_sas_k2.jsonl,50,0,6,12.0,43.83095238095238,43.83095238095238,9.963607411072323,4.378281839696831,1.7062136584372165,50,20173.66,646.1,False,9.963607411072323,4.3782818396968315,1.7062136584372165,218.91409198484158,4.9442432400000005,5.299973990861045,1.5153438381217028,2.8026907533202614,0.060247248254866846,23.027721088528633,23.027721088528633,19527.56,646.1,20173.66,2.28,2.8,11932977.49
sas,3,,,Qwen_Qwen3.5-9B_sas_k3.jsonl,50,0,7,14.0,50.93333333333335,50.93333333333333,10.339587650874837,3.823361897042339,1.1497584596611408,50,26642,503.18,False,10.339587650874837,3.8233618970423384,1.1497584596611408,191.16809485211692,4.268006119999999,4.576864772656048,3.0783442742522595,0.6839474494390256,0.061070173351052685,19.956587468609214,19.956587468609214,26138.82,503.18,26642.0,2.98,3.2,8304809.65
sas,5,,,Qwen_Qwen3.5-9B_sas_k5.jsonl,50,0,8,16.0,54.36746031746032,54.36746031746031,9.43345829258945,4.4419762500988025,1.3974211024515697,50,39959.52,588.5,False,9.43345829258945,4.4419762500988025,1.3974211024515697,222.09881250494013,5.02400632,5.4034878658590175,4.007472172879097,0.3595823308466166,0.07492174637308872,23.738531385287644,23.738531385287644,39371.02,588.5,39959.52,4.02,3.86,10286854.47
sas,7,,,Qwen_Qwen3.5-9B_sas_k7.jsonl,50,0,8,16.0,55.34444444444444,55.34444444444444,9.508999620242802,4.143367586721176,0.7836881027765686,50,53591.18,494.04,False,9.508999620242802,4.143367586721176,0.7836881027765686,207.1683793360588,4.641442720000001,5.004424405211845,3.633925983373638,0.39169658071001606,0.11774502263752205,22.351406867019833,22.351406867019833,53097.14,494.04,53591.18,5.14,4.52,8172541.32
sas,10,,,Qwen_Qwen3.5-9B_sas_k10.jsonl,50,0,9,18.0,57.71587301587302,57.71587301587302,9.101065779401203,5.062835448694539,1.1931983107361794,50,67820.14,649.2,False,9.101065779401203,5.062835448694539,1.1931983107361794,253.14177243472693,5.73883574,6.2084273007300315,4.673618658076128,0.2788608835388498,0.11035590707956111,27.618153001479804,27.618153001479804,67170.94,649.2,67820.14,6.54,5.24,10708883.32
sas,15,,,Qwen_Qwen3.5-9B_sas_k15.jsonl,50,0,9,18.0,56.81190476190477,56.81190476190476,9.446687997571255,5.7831331358892095,1.3330322084533832,50,100852.72,709.06,False,9.446687997571255,5.783133135889209,1.3330322084533832,289.15665679446045,6.47793578,6.996920727403232,5.1166472321826495,0.514887451138551,0.15159845256800836,31.297981974706055,31.297981974706055,100143.66,709.06,100852.72,9.32,6.72,11493035.53
sas,20,,,Qwen_Qwen3.5-9B_sas_k20.jsonl,50,0,9,18.0,58.8063492063492,58.8063492063492,8.749202669845104,7.742140289736103,2.2737319850323416,50,128661.14,1000.96,False,8.749202669845104,7.742140289736102,2.2737319850323416,387.1070144868051,8.657254299999998,9.343905619462967,7.2291488388987695,0.3571888979821981,0.15580255285513622,41.25312180690467,41.25312180690467,127660.18,1000.96,128661.14,11.52,7.8,21204417.3
sas,30,,,Qwen_Qwen3.5-9B_sas_k30.jsonl,50,0,11,22.0,60.9920634920635,60.992063492063494,8.88974079251047,8.25206754355452,2.2780054766905136,50,170392.38,1027.5,False,8.88974079251047,8.25206754355452,2.2780054766905136,412.60337717772603,9.236211679999998,10.045929340433469,7.657959730896584,0.42862532835410805,0.1654824843038287,44.549516245238486,44.549516245238486,169364.88,1027.5,170392.38,16.1,10.04,18674936.35
sas,50,,,Qwen_Qwen3.5-9B_sas_k50.jsonl,50,0,8,16.0,59.16746031746032,59.16746031746032,8.63526919236982,9.48055198845728,2.9468195729405386,50,224145.2,1266.7,False,8.63526919236982,9.480551988457279,2.9468195729405386,474.02759942286394,10.6193701,11.601136465402998,9.040594365971511,0.23761795594565563,0.20233966654011581,51.93492939185351,51.93492939185351,222878.5,1266.7,224145.2,26.92,14.32,19570415.49
