benchmark,sweep,topology,k,R,N,filename,n_valid,n_errored,patch_presence_correct,patch_presence_acc_pct,acc_std_pct,acc_std_ci95_pct,mean_kJ_dynamic_std,mean_kJ_dynamic_std_ci95,n_std,mean_tokens_std,mean_completion_tokens_std,degraded_incomplete_run,acc_ci95_pct,mean_kJ_dynamic,mean_kJ_dynamic_ci95,total_kJ_dynamic,mean_kJ_gpu_total,mean_kJ_total_system,mean_kJ_inference,mean_kJ_coordination,mean_kJ_tool_exec,mean_wall_s,mean_wall_s_serial,mean_prompt_tokens,mean_completion_tokens,mean_tokens,mean_n_tool_calls,mean_n_llm_calls,mean_task_kv,loose_acc_pct,real_correct_present,real_correct_true,harness_acc_pct,harness_acc_evaluated_only_pct
BrowseCompplus,k_sweep,centralized,1,2,3,Qwen_Qwen3.5-9B_centralized_k1_R2.jsonl,50,0,11,22.0,22.0,11.598896499236469,36.25902541742442,4.460512646222211,50,70848.86,6212.08,False,11.598896499236469,36.25902541742441,4.460512646222211,1812.9512708712207,39.96683475999999,42.61256528007685,3.879737307893234,32.30099510792204,0.07829300160913469,156.99573482718318,179.4759209666401,64636.78,6212.08,70848.86,7.16,14.56,21931085.52,,,,,
BrowseCompplus,k_sweep,centralized,2,2,3,Qwen_Qwen3.5-9B_centralized_k2_R2.jsonl,50,0,17,34.0,34.0,13.26384559620625,38.843290406021794,4.775683010181455,50,147911.4,6269.36,False,13.26384559620625,38.843290406021794,4.775683010181455,1942.1645203010899,42.841719440000006,45.833947861154755,8.651891570868578,30.045724245902555,0.14567458925065066,155.34816538970918,193.62879753965885,141642.04,6269.36,147911.4,14.28,19.86,32822676.92,,,,,
BrowseCompplus,k_sweep,centralized,3,2,3,Qwen_Qwen3.5-9B_centralized_k3_R2.jsonl,50,0,18,36.0,36.0,13.44,43.18374918621045,5.724855578974403,50,248031.12,6447.84,False,13.44,43.18374918621046,5.724855578974403,2159.187459310523,47.647512199999994,51.04826006308528,13.80771436590956,29.175340687251836,0.2006941330490605,161.47965327404438,216.23569710716606,241583.28,6447.84,248031.12,20.04,24.7,46560010.7,,,,,
BrowseCompplus,k_sweep,centralized,5,2,3,Qwen_Qwen3.5-9B_centralized_k5_R2.jsonl,50,0,20,40.0,40.0,13.717142559585795,50.72786699844554,6.378120807638073,50,453438.28,7244.72,False,13.717142559585795,50.727866998445535,6.378120807638073,2536.3933499222767,56.25536276,60.48350844401505,21.244013626025357,29.209886431582603,0.2739669408375826,180.4058352416754,258.00380276344714,446193.56,7244.72,453438.28,29.22,32.08,72118316.12,,,,,
BrowseCompplus,k_sweep,centralized,7,2,3,Qwen_Qwen3.5-9B_centralized_k7_R2.jsonl,50,0,18,36.0,36.0,13.44,61.68176732156347,9.947766503740054,50,695518.74,7439.34,False,13.44,61.68176732156348,9.947766503740054,3084.0883660781737,68.11701458000002,73.14486766548308,32.279326420521286,29.030755730328515,0.37168517071367446,195.57815326869488,311.9184204073623,688079.4,7439.34,695518.74,38.94,39.88,91660571.95,,,,,
BrowseCompplus,k_sweep,centralized,10,2,3,Qwen_Qwen3.5-9B_centralized_k10_R2.jsonl,50,0,19,38.0,38.0,13.590820431452988,81.26902819193751,11.597257519100996,50,1025764.3,8799.8,False,13.590820431452988,81.26902819193751,11.597257519100996,4063.4514095968752,89.7612315,96.404108521666,50.47583943004384,30.297881974958074,0.4953067869355924,234.16504334386437,411.5946308749169,1016964.5,8799.8,1025764.3,49.98,49.98,126781603.66,,,,,
BrowseCompplus,k_sweep,centralized,15,2,3,Qwen_Qwen3.5-9B_centralized_k15_R2.jsonl,50,0,22,44.0,44.0,13.89883448350976,93.48514834351833,16.06731972963819,50,1391326.38,9012.54,False,13.89883448350976,93.48514834351835,16.06731972963819,4674.257417175917,103.29580395999997,111.08994739578006,70.16379437273092,22.709363907063388,0.6119900637240078,256.39374693553896,475.68020661346617,1382313.84,9012.54,1391326.38,68.12,61.04,166867914.59,,,,,
BrowseCompplus,k_sweep,centralized,20,2,3,Qwen_Qwen3.5-9B_centralized_k20_R2.jsonl,50,0,21,42.0,42.0,13.819638200763432,120.14439293243854,24.058588041913158,50,1753538.74,10893.38,False,13.819638200763432,120.14439293243849,24.058588041913158,6007.219646621925,132.70563122,142.41456625087113,92.81163977620815,26.61530408259399,0.7174490736363645,341.5114023975283,608.9089795936271,1742645.36,10893.38,1753538.74,71.76,71.58,228082622.09,,,,,
BrowseCompplus,k_sweep,centralized,30,2,3,Qwen_Qwen3.5-9B_centralized_k30_R2.jsonl,50,0,26,52.0,52.0,13.988795516412415,186.1437474090866,42.2607761898707,50,2627202.62,16240,False,13.988795516412415,186.1437474090866,42.2607761898707,9307.187370454329,205.53892242,220.29213817286814,163.91699256532712,21.274086860733643,0.9526679830257659,529.7828962186724,940.3079334472865,2610962.62,16240.0,2627202.62,104.04,98.14,427804599.22,,,,,
BrowseCompplus,k_sweep,centralized,50,2,3,Qwen_Qwen3.5-9B_centralized_k50_R2.jsonl,50,0,18,36.0,36.0,13.44,240.62895992713385,66.12531135718636,50,3598425.86,22111.16,False,13.44,240.62895992713385,66.12531135718636,12031.447996356692,265.97368982000006,286.41009763295637,215.93960311795774,23.065155676452388,1.624201132723702,705.946238732934,1228.655742679648,3576314.7,22111.16,3598425.86,146.94,128.7,583793020.48,,,,,
